"name","ID","CD34High_vs_CD34Low_p.adj","CD34High_vs_CD34Neg_p.adj","CD34Low_vs_CD34Neg_p.adj","CD34High_vs_CD34Low_significant","CD34High_vs_CD34Neg_significant","CD34Low_vs_CD34Neg_significant","significant","CD34High_vs_CD34Low_ratio","CD34High_vs_CD34Neg_ratio","CD34Low_vs_CD34Neg_ratio","CD34High_centered","CD34Low_centered","CD34Neg_centered"
"GDI1","P31150","7.00e-01","9.63e-01","9.02e-01",FALSE,FALSE,FALSE,FALSE,-1.98,-0.5,1.48,-0.826,1.15,-0.326
"GDI2","P50395","7.23e-01","9.41e-01","9.43e-01",FALSE,FALSE,FALSE,FALSE,-1.23,-0.779,0.455,-0.671,0.563,0.108
"GFPT1","Q06210","9.49e-01","9.63e-01","9.44e-01",FALSE,FALSE,FALSE,FALSE,-0.177,0.673,0.85,0.165,0.342,-0.508
"GGH","Q92820","8.50e-01","9.70e-01","9.33e-01",FALSE,FALSE,FALSE,FALSE,-0.9,-0.114,0.786,-0.338,0.562,-0.224
"GLB1","P16278","9.46e-01","8.88e-01","8.23e-01",FALSE,FALSE,FALSE,FALSE,-0.144,1.51,1.65,0.454,0.598,-1.05
"GLO1","Q04760","8.40e-01","9.64e-01","9.41e-01",FALSE,FALSE,FALSE,FALSE,-0.779,-0.292,0.486,-0.357,0.422,-0.0647
"GLRX3","O76003","9.34e-01","9.48e-01","9.04e-01",FALSE,FALSE,FALSE,FALSE,-0.332,0.872,1.2,0.18,0.512,-0.692
"GNAI3","P08754","9.54e-01","9.54e-01","9.36e-01",FALSE,FALSE,FALSE,FALSE,-0.0107,0.819,0.83,0.269,0.28,-0.55
"GNB1","P62873","9.45e-01","9.71e-01","9.57e-01",FALSE,FALSE,FALSE,FALSE,0.135,0.0313,-0.104,0.0555,-0.0798,0.0243
"GNS","P15586","9.32e-01","9.39e-01","8.83e-01",FALSE,FALSE,FALSE,FALSE,-0.262,0.751,1.01,0.163,0.425,-0.588
"GPC1","P35052","8.00e-01","5.52e-01","8.55e-01",FALSE,FALSE,FALSE,FALSE,-1.05,-2.37,-1.32,-1.14,-0.0907,1.23
"GPD1","P21695","8.94e-01","9.02e-01","7.32e-01",FALSE,FALSE,FALSE,FALSE,-0.971,2.22,3.19,0.415,1.39,-1.8
"GPI","P06744","7.42e-01","9.21e-01","9.55e-01",FALSE,FALSE,FALSE,FALSE,-1.11,-0.959,0.151,-0.689,0.42,0.269
"GPX3","P22352","9.20e-01","1.28e-01","2.70e-01",FALSE,FALSE,FALSE,FALSE,0.455,3.79,3.34,1.42,0.96,-2.38
"GSN","P06396","9.37e-01","8.76e-01","7.73e-01",FALSE,FALSE,FALSE,FALSE,-0.197,1.16,1.36,0.321,0.518,-0.839
"GSPT1","P15170","9.29e-01","8.57e-01","7.12e-01",FALSE,FALSE,FALSE,FALSE,-0.344,1.66,2,0.438,0.782,-1.22
"GSS","P48637","7.73e-01","9.46e-01","9.46e-01",FALSE,FALSE,FALSE,FALSE,-1.26,-0.81,0.451,-0.691,0.571,0.12
"GSTP1","P09211","8.82e-01","9.59e-01","8.94e-01",FALSE,FALSE,FALSE,FALSE,-0.465,0.358,0.823,-0.0354,0.429,-0.394
"HADH","Q16836","8.23e-01","9.66e-01","8.83e-01",FALSE,FALSE,FALSE,FALSE,-2.7,0.664,3.36,-0.679,2.02,-1.34
"HARS","P12081","8.27e-01","8.45e-01","9.29e-01",FALSE,FALSE,FALSE,FALSE,-1.51,-2.69,-1.18,-1.4,0.107,1.29
"HEBP2","Q9Y5Z4","9.16e-01","9.46e-01","8.81e-01",FALSE,FALSE,FALSE,FALSE,-0.573,1.01,1.59,0.147,0.72,-0.866
"HEXA","P06865","9.45e-01","8.98e-01","8.85e-01",FALSE,FALSE,FALSE,FALSE,0.161,1.41,1.25,0.523,0.362,-0.885
"HEXB","P07686","8.47e-01","9.43e-01","8.07e-01",FALSE,FALSE,FALSE,FALSE,-0.644,0.678,1.32,0.0112,0.655,-0.666
"HIST1H2AJ","Q99878","9.08e-01","9.71e-01","9.43e-01",FALSE,FALSE,FALSE,FALSE,0.509,0.0119,-0.498,0.174,-0.336,0.162
"HIST1H2BL","Q99880","8.86e-01","9.68e-01","9.45e-01",FALSE,FALSE,FALSE,FALSE,0.54,0.142,-0.398,0.227,-0.312,0.0851
"HIST1H4A","P62805","9.12e-01","9.53e-01","9.56e-01",FALSE,FALSE,FALSE,FALSE,0.541,0.717,0.176,0.419,-0.122,-0.298
"HK1","P19367","8.91e-01","9.18e-01","9.39e-01",FALSE,FALSE,FALSE,FALSE,-0.74,-1.46,-0.725,-0.735,0.00491,0.73
"HK2","P52789","8.31e-01","9.68e-01","9.01e-01",FALSE,FALSE,FALSE,FALSE,-1.51,0.278,1.79,-0.412,1.1,-0.69
"HNRNPA1","P09651","8.01e-01","9.58e-01","8.13e-01",FALSE,FALSE,FALSE,FALSE,-0.868,0.395,1.26,-0.158,0.71,-0.553
"HNRNPA2B1","P22626","9.01e-01","9.46e-01","8.68e-01",FALSE,FALSE,FALSE,FALSE,-0.485,0.695,1.18,0.0702,0.555,-0.625
